id,0,degree,modularity_class,eigencentrality,clustering
HRL,Consumer Staples,1,22,3.936926038108996E-4,0.0
MRO,Energy,22,19,0.025926474842835757,0.7748917748917749
MRK,Health Care,2,7,5.634179146338834E-4,1.0
IPG,Consumer Discretionary,1,25,0.0016605615591309983,0.0
RHT,Information Technology,1,23,0.0021913206662866986,0.0
APH,Information Technology,24,23,0.21151895687326108,0.5036231884057971
ROST,Consumer Discretionary,1,8,2.1229114732236037E-4,0.0
APC,Energy,22,19,0.026679720879657014,0.8398268398268398
APA,Energy,22,19,0.02667972087965702,0.8398268398268398
APD,Materials,14,25,0.16841828906804887,0.7472527472527473
KSS,Consumer Discretionary,3,9,6.779240765053108E-4,0.3333333333333333
