id,0,degree,modularity_class,clustering,eigencentrality
PLD,Real Estate,179,5,0.6940556148389931,0.8275712729331886
CMCSA,Consumer Discretionary,4,7,1.0,0.023570937013433792
MKC,Consumer Staples,11,10,1.0,0.06624949779827391
CVX,Energy,236,7,0.5006851785070321,0.935303865862412
AIZ,Financials,13,13,1.0,0.08001821545321387
EIX,Utilities,60,7,0.7299435028248588,0.24591228529752238
AIV,Real Estate,189,5,0.64387031408308,0.8417460892617175
CVS,Consumer Staples,11,10,0.8181818181818182,0.05914417442162443
RCL,Consumer Discretionary,161,5,0.7455745341614907,0.7699154745928095
LOW,Consumer Discretionary,94,5,0.8183482040722947,0.47268024646159856
DIS,Consumer Discretionary,137,5,0.8253542292829541,0.6911799064902503
PPG,Materials,207,5,0.6111814642840392,0.9043601767861926
NSC,Industrials,240,10,0.5077405857740586,0.9622564320663229
PPL,Utilities,2,7,1.0,0.0026650859544506147
OKE,Energy,229,7,0.5179652187236651,0.9208530142218931
GOOG,Information Technology,1,11,0.0,6.889979653727359E-5
IP,Materials,85,6,0.8873949579831932,0.45205531900484236
HPQ,Information Technology,2,8,1.0,0.01062009164824074
IR,Industrials,84,10,0.9228341939185313,0.44995547654039364
URI,Industrials,31,10,0.9935483870967742,0.1780122048267801
MTB,Financials,26,13,0.8092307692307692,0.08761511330428044
UTX,Industrials,232,10,0.5250410509031199,0.9431718840707822
JCI,Industrials,40,10,0.9307692307692308,0.22272016083808838
MTD,Health Care,56,10,0.8772727272727273,0.298748527562113
WDC,Information Technology,3,8,0.3333333333333333,0.007443486666583785
HBI,Consumer Discretionary,16,10,0.9666666666666667,0.08509941654794596
BA,Industrials,138,5,0.7985824605945202,0.6850319653006012
BK,Financials,69,13,0.7941176470588235,0.3246180187102223
DRI,Consumer Discretionary,5,5,1.0,0.0266138075418019
CCL,Consumer Discretionary,200,5,0.614070351758794,0.8726423265604196
CCI,Real Estate,33,6,0.9356060606060606,0.18424313128582084
TIF,Consumer Discretionary,167,5,0.6930957362383666,0.7672196545042467
FLIR,Information Technology,5,10,1.0,0.031025611327507172
HSIC,Health Care,50,10,0.8702040816326531,0.2705369501418693
D,Utilities,95,7,0.6963045912653976,0.41939309151835663
VZ,Telecommunications Services,1,7,0.0,9.596348860757419E-4
T,Telecommunications Services,25,7,0.8966666666666666,0.13651148848328634
WMB,Energy,168,6,0.6429997148560023,0.7412326707368327
